# Amber offline RIR CIDR->country snapshot (geo-attribution Source 1).
# Generated by scripts/build_rir_snapshot.py from REAL RIR delegated-extended files.
# Columns: <cidr>\t<ISO2>\t<registry>. Real delegation data, not invented.
2.136.0.0/13	ES	ripencc
2.152.0.0/19	ES	ripencc
2.152.32.0/21	ES	ripencc
2.152.40.0/22	ES	ripencc
2.152.44.0/23	ES	ripencc
2.152.46.0/24	ES	ripencc
2.152.47.0/24	ES	ripencc
2.152.48.0/21	ES	ripencc
2.152.56.0/23	ES	ripencc
2.152.58.0/23	ES	ripencc
2.152.60.0/22	ES	ripencc
2.152.64.0/23	DE	ripencc
2.152.66.0/23	ES	ripencc
2.152.68.0/22	LU	ripencc
2.152.72.0/21	ES	ripencc
2.152.80.0/20	ES	ripencc
2.152.96.0/19	ES	ripencc
2.152.128.0/17	ES	ripencc
2.153.0.0/16	ES	ripencc
2.154.0.0/15	ES	ripencc
2.156.0.0/14	IT	ripencc
2.160.0.0/12	DE	ripencc
2.192.0.0/13	IT	ripencc
2.200.0.0/13	DE	ripencc
2.208.0.0/13	DE	ripencc
2.224.0.0/12	IT	ripencc
2.240.0.0/13	DE	ripencc
5.1.32.0/21	ES	ripencc
5.1.42.0/24	IT	ripencc
5.1.44.0/24	IT	ripencc
5.1.64.0/19	DE	ripencc
5.1.120.0/21	DE	ripencc
5.1.128.0/17	DE	ripencc
5.2.0.0/20	IT	ripencc
5.2.24.0/21	ES	ripencc
5.2.64.0/20	NL	ripencc
5.2.88.0/21	ES	ripencc
5.4.0.0/14	DE	ripencc
5.8.24.0/22	LU	ripencc
5.8.32.0/22	LU	ripencc
5.8.40.0/23	LU	ripencc
5.8.68.0/24	LU	ripencc
5.8.70.0/23	LU	ripencc
5.8.92.0/22	LU	ripencc
5.8.96.0/19	IT	ripencc
5.8.184.0/21	ES	ripencc
5.8.248.0/24	NL	ripencc
5.8.249.0/24	FR	ripencc
5.8.250.0/24	NL	ripencc
5.8.252.0/22	ES	ripencc
5.9.0.0/16	DE	ripencc
5.10.0.0/21	DE	ripencc
5.10.8.0/21	DE	ripencc
5.10.40.0/21	DE	ripencc
5.10.48.0/20	DE	ripencc
5.10.64.0/18	NL	ripencc
5.10.128.0/21	FR	ripencc
5.10.160.0/19	DE	ripencc
5.10.192.0/24	NL	ripencc
5.10.193.0/24	NL	ripencc
5.10.194.0/23	NL	ripencc
5.10.196.0/22	NL	ripencc
5.10.200.0/21	ES	ripencc
5.10.208.0/20	DE	ripencc
5.11.0.0/21	AT	ripencc
5.11.32.0/21	IT	ripencc
5.11.48.0/21	DE	ripencc
5.11.56.0/22	FR	ripencc
5.11.80.0/21	NL	ripencc
5.11.96.0/19	IT	ripencc
5.22.144.0/21	DE	ripencc
5.22.152.0/23	ES	ripencc
5.22.154.0/24	ES	ripencc
5.22.156.0/22	ES	ripencc
5.22.204.0/22	NL	ripencc
5.22.240.0/21	DE	ripencc
5.22.248.0/21	NL	ripencc
5.23.32.0/21	IT	ripencc
5.23.40.0/21	FR	ripencc
5.23.128.0/17	BE	ripencc
5.28.8.0/21	IT	ripencc
5.28.40.0/21	DE	ripencc
5.28.64.0/18	DE	ripencc
5.28.192.0/18	DE	ripencc
5.32.160.0/21	DE	ripencc
5.32.184.0/21	DE	ripencc
5.34.128.0/19	ES	ripencc
5.34.184.0/21	IT	ripencc
5.34.224.0/21	DE	ripencc
5.34.232.0/21	NL	ripencc
5.35.176.0/21	NL	ripencc
5.35.200.0/21	ES	ripencc
5.35.216.0/21	ES	ripencc
5.35.224.0/19	DE	ripencc
5.39.0.0/17	FR	ripencc
5.39.168.0/21	NL	ripencc
5.39.184.0/21	NL	ripencc
5.39.192.0/21	PL	ripencc
5.39.208.0/21	ES	ripencc
5.39.216.0/21	NL	ripencc
5.39.224.0/21	FR	ripencc
5.39.232.0/21	FR	ripencc
5.39.240.0/21	DE	ripencc
5.40.0.0/16	ES	ripencc
5.42.136.0/21	DE	ripencc
5.42.144.0/22	IT	ripencc
5.42.152.0/21	FR	ripencc
5.42.193.0/24	FR	ripencc
5.42.194.0/24	NL	ripencc
5.42.196.0/24	DE	ripencc
5.42.197.0/24	FR	ripencc
5.42.200.0/24	FR	ripencc
5.42.201.0/24	DE	ripencc
5.42.204.0/24	DE	ripencc
5.43.232.0/21	IT	ripencc
5.43.248.0/21	IT	ripencc
5.44.72.0/21	NL	ripencc
5.44.96.0/20	DE	ripencc
5.44.160.0/21	FR	ripencc
5.44.208.0/21	AT	ripencc
5.44.250.0/24	NL	ripencc
5.44.251.0/24	NL	ripencc
5.45.0.0/21	DE	ripencc
5.45.8.0/21	ES	ripencc
5.45.32.0/22	NL	ripencc
5.45.40.0/22	FR	ripencc
5.45.96.0/20	DE	ripencc
5.45.144.0/22	AT	ripencc
5.45.148.0/22	DE	ripencc
5.45.160.0/20	ES	ripencc
5.45.176.0/21	DE	ripencc
5.45.184.0/22	LU	ripencc
5.48.0.0/14	FR	ripencc
5.53.0.0/21	ES	ripencc
5.56.0.0/21	ES	ripencc
5.56.8.0/21	IT	ripencc
5.56.16.0/21	DE	ripencc
5.56.40.0/21	FR	ripencc
5.56.56.0/21	ES	ripencc
5.56.160.0/21	ES	ripencc
5.56.176.0/20	DE	ripencc
5.56.192.0/18	DE	ripencc
5.57.16.0/21	NL	ripencc
5.57.24.0/21	ES	ripencc
5.57.40.0/21	DE	ripencc
5.57.128.0/18	PL	ripencc
5.57.192.0/21	DE	ripencc
5.57.208.0/24	IT	ripencc
5.57.213.0/24	NL	ripencc
5.57.214.0/24	PL	ripencc
